LEI_Code,Bank,NSA,originating_country,Period,Item,Label,country,target_country,Amount
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720804,loans and advances,9,France,2.91410608
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720804,loans and advances,10,Germany,2420.584131
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720804,loans and advances,16,Latvia,70.0577791
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720804,loans and advances,23,Poland,50.21051944
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,1,Austria,61.52150662
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,2,Belgium,60.28252422
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,5,Czech Republic,20.58968399
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,9,France,244.8370771
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,10,Germany,5867.100357
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,14,Ireland,4.56587588
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,15,Italy,61.4248682
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,23,Poland,194.1123659
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,26,Slovakia,2.42620647
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,27,Slovenia,4.47555817
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,28,Spain,245.2509739
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,30,United Kingdom,504.4073885
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,82,Canada,193.2427396
0W2PZJM8XOY22M4GG883,DekaBank Deutsche Girozentrale,DE,Germany,201612,1720806,debt securities,43,United States,162.843305
